Heuristic,BSP,Painter,H,N,S
First,268.87,2.43,4500,8999,4500
Random,76.99,1.29,522,8767,4550
FreeSplit,56.56,1.26,521,8781,4552
First,232.05,0.69,4500,8999,4500
Random,10.76,0.55,518,8779,4564
FreeSplit,8.21,0.60,508,8757,4533
First,186.05,0.77,4500,8999,4500
Random,35.72,0.99,510,8727,4559
FreeSplit,28.95,0.88,515,8771,4562
First,161.27,0.60,4500,8999,4500
Random,7.52,0.28,517,8735,4546
FreeSplit,8.52,0.28,527,8793,4557
First,209.66,0.30,4500,8999,4500
Random,5.86,0.25,513,8781,4549
FreeSplit,6.63,0.29,515,8749,4565
First,191.60,0.32,4500,8999,4500
Random,6.06,0.31,507,8749,4545
FreeSplit,6.21,0.25,512,8781,4563
First,156.82,0.49,4500,8999,4500
Random,6.39,0.25,522,8753,4558
FreeSplit,7.75,0.30,515,8739,4565
First,199.48,0.24,4500,8999,4500
Random,6.29,0.27,522,8761,4555
FreeSplit,6.31,0.32,512,8743,4560
First,166.80,0.34,4500,8999,4500
Random,5.52,0.26,514,8757,4550
FreeSplit,22.48,0.35,512,8767,4550
First,176.90,0.21,4500,8999,4500
Random,5.67,0.25,510,8773,4561
FreeSplit,5.85,0.25,507,8757,4560
First,158.39,0.34,4500,8999,4500
Random,5.84,0.31,515,8751,4549
FreeSplit,5.83,0.32,512,8737,4555
First,156.24,0.20,4500,8999,4500
Random,6.08,0.32,511,8743,4551
FreeSplit,6.77,0.30,521,8775,4559
First,169.98,0.38,4500,8999,4500
Random,10.85,0.48,515,8737,4547
FreeSplit,7.59,0.27,517,8769,4553
First,155.11,0.20,4500,8999,4500
Random,5.34,0.27,511,8777,4562
FreeSplit,6.02,0.27,516,8735,4552
First,157.51,0.44,4500,8999,4500
Random,5.68,0.24,516,8771,4563
FreeSplit,6.27,0.31,519,8727,4548
First,156.35,0.18,4500,8999,4500
Random,5.72,0.27,515,8765,4556
FreeSplit,6.19,0.31,514,8777,4561
First,154.47,0.34,4500,8999,4500
Random,5.97,0.26,516,8775,4556
FreeSplit,6.40,0.25,520,8755,4561
First,158.15,0.56,4500,8999,4500
Random,6.23,0.22,524,8743,4558
FreeSplit,6.18,0.26,521,8739,4558
First,155.77,0.39,4500,8999,4500
Random,5.51,0.25,518,8745,4557
FreeSplit,5.95,0.23,523,8767,4545
First,154.84,0.49,4500,8999,4500
Random,6.18,0.23,529,8771,4552
FreeSplit,6.07,0.19,521,8751,4556
First,158.30,0.35,4500,8999,4500
Random,5.61,0.25,519,8789,4556
FreeSplit,6.27,0.27,511,8713,4546
First,166.60,0.59,4500,8999,4500
Random,6.45,0.23,524,8779,4552
FreeSplit,5.96,0.24,516,8725,4557
First,155.59,0.35,4500,8999,4500
Random,5.59,0.28,512,8789,4558
FreeSplit,6.58,0.24,532,8753,4557
First,185.56,0.50,4500,8999,4500
Random,10.30,0.34,516,8739,4564
FreeSplit,6.52,0.26,519,8759,4537
First,166.99,0.66,4500,8999,4500
Random,6.53,0.27,518,8793,4564
FreeSplit,6.44,0.25,519,8741,4559
First,160.80,0.28,4500,8999,4500
Random,5.69,0.29,517,8779,4544
FreeSplit,5.99,0.25,510,8769,4562
First,160.26,0.47,4500,8999,4500
Random,5.93,0.26,521,8765,4545
FreeSplit,6.15,0.26,521,8769,4556
First,155.33,0.47,4500,8999,4500
Random,5.80,0.27,515,8761,4562
FreeSplit,5.70,0.25,514,8759,4556
First,160.51,0.22,4500,8999,4500
Random,5.99,0.31,518,8797,4560
FreeSplit,7.47,0.25,519,8769,4563
First,155.20,0.35,4500,8999,4500
Random,5.81,0.26,517,8739,4550
FreeSplit,6.52,0.26,525,8769,4570
First,154.37,0.16,4500,8999,4500
Random,5.45,0.24,517,8757,4555
FreeSplit,6.80,0.27,521,8775,4553
First,159.28,0.34,4500,8999,4500
Random,5.36,0.25,512,8739,4558
FreeSplit,6.19,0.54,514,8759,4554
First,155.48,0.12,4500,8999,4500
Random,5.88,0.27,516,8735,4556
FreeSplit,6.42,0.28,514,8753,4544
First,160.41,0.34,4500,8999,4500
Random,5.53,0.24,515,8751,4552
FreeSplit,6.60,0.26,523,8729,4543
First,161.14,0.35,4500,8999,4500
Random,5.28,0.24,511,8719,4559
FreeSplit,8.41,0.45,517,8781,4551
First,210.03,0.35,4500,8999,4500
Random,6.04,0.43,511,8755,4567
FreeSplit,6.07,0.28,513,8791,4551
First,161.66,0.50,4500,8999,4500
Random,5.58,0.21,520,8769,4562
FreeSplit,6.11,0.26,510,8735,4547
First,162.36,0.35,4500,8999,4500
Random,5.94,0.28,515,8785,4551
FreeSplit,8.32,0.27,507,8743,4546
First,159.23,0.19,4500,8999,4500
Random,5.12,0.25,506,8757,4557
FreeSplit,6.27,0.25,518,8755,4539
First,154.83,0.34,4500,8999,4500
Random,5.16,0.29,509,8743,4565
FreeSplit,6.03,0.24,517,8779,4557
First,155.06,0.26,4500,8999,4500
Random,5.46,0.27,511,8781,4567
FreeSplit,6.05,0.26,507,8779,4561
First,154.87,0.52,4500,8999,4500
Random,5.25,0.25,509,8755,4554
FreeSplit,6.08,0.26,511,8749,4558
First,201.21,0.35,4500,8999,4500
Random,5.59,0.31,517,8727,4548
FreeSplit,6.30,0.23,510,8777,4561
First,154.74,0.13,4500,8999,4500
Random,6.20,0.24,517,8767,4551
FreeSplit,6.27,0.27,513,8777,4546
First,155.86,0.34,4500,8999,4500
Random,5.43,0.27,513,8779,4558
FreeSplit,5.79,0.25,513,8775,4552
First,160.24,0.27,4500,8999,4500
Random,5.44,0.25,521,8763,4553
FreeSplit,6.19,0.27,516,8769,4553
First,160.95,0.49,4500,8999,4500
Random,5.78,0.19,515,8723,4558
FreeSplit,6.04,0.24,511,8767,4562
First,154.97,0.34,4500,8999,4500
Random,5.51,0.24,516,8755,4567
FreeSplit,5.66,0.25,513,8745,4554
First,156.18,0.30,4500,8999,4500
Random,5.74,0.29,509,8775,4554
FreeSplit,5.94,0.24,512,8725,4549
First,171.66,0.25,4500,8999,4500
Random,5.56,0.26,512,8751,4554
FreeSplit,6.35,0.48,508,8775,4562
First,155.31,0.51,4500,8999,4500
Random,6.10,0.25,513,8733,4554
FreeSplit,7.17,0.44,522,8777,4563
First,213.10,0.37,4500,8999,4500
Random,5.58,0.25,517,8751,4551
FreeSplit,6.52,0.27,521,8747,4551
First,156.80,0.34,4500,8999,4500
Random,6.26,0.27,526,8783,4566
FreeSplit,6.30,0.26,517,8773,4558
First,159.68,0.34,4500,8999,4500
Random,5.38,0.26,519,8761,4561
FreeSplit,6.11,0.24,507,8767,4555
First,155.17,0.27,4500,8999,4500
Random,5.61,0.26,518,8747,4559
FreeSplit,5.96,0.25,511,8737,4558
First,157.94,0.26,4500,8999,4500
Random,5.63,0.27,510,8785,4544
FreeSplit,6.22,0.27,514,8811,4557
First,165.21,0.27,4500,8999,4500
Random,5.57,0.25,517,8761,4555
FreeSplit,5.79,0.23,516,8751,4553
First,231.02,0.45,4500,8999,4500
Random,10.26,0.40,520,8779,4567
FreeSplit,6.26,0.26,512,8763,4555
First,193.33,0.28,4500,8999,4500
Random,6.16,0.28,525,8761,4560
FreeSplit,6.39,0.26,516,8747,4555
First,162.01,0.36,4500,8999,4500
Random,5.58,0.40,520,8765,4544
FreeSplit,11.02,0.41,522,8727,4555
First,163.76,0.34,4500,8999,4500
Random,5.44,0.27,512,8753,4559
FreeSplit,6.28,0.27,516,8767,4550
First,176.64,0.27,4500,8999,4500
Random,5.55,0.26,511,8765,4562
FreeSplit,5.87,0.25,511,8759,4564
First,161.48,0.17,4500,8999,4500
Random,5.46,0.26,516,8769,4546
FreeSplit,6.34,0.26,514,8773,4555
First,162.25,0.35,4500,8999,4500
Random,5.47,0.24,510,8755,4548
FreeSplit,5.81,0.30,517,8765,4555
First,155.20,0.27,4500,8999,4500
Random,5.60,0.24,521,8783,4566
FreeSplit,6.23,0.25,514,8741,4558
First,158.50,0.34,4500,8999,4500
Random,5.64,0.24,522,8785,4554
FreeSplit,5.76,0.32,511,8755,4560
First,160.59,0.28,4500,8999,4500
Random,6.04,0.26,525,8755,4551
FreeSplit,6.55,0.27,521,8749,4553
First,154.68,0.35,4500,8999,4500
Random,5.48,0.26,519,8739,4544
FreeSplit,5.52,0.26,509,8721,4553
First,212.68,0.32,4500,8999,4500
Random,5.55,0.26,524,8761,4549
FreeSplit,6.32,0.24,520,8759,4562
First,158.97,0.45,4500,8999,4500
Random,5.41,0.25,515,8759,4552
FreeSplit,6.35,0.25,518,8761,4552
First,157.81,0.34,4500,8999,4500
Random,5.55,0.25,517,8763,4544
FreeSplit,5.97,0.31,519,8769,4556
First,175.37,0.27,4500,8999,4500
Random,6.22,0.27,514,8745,4555
FreeSplit,5.85,0.25,516,8719,4556
First,156.61,0.35,4500,8999,4500
Random,5.42,0.26,514,8745,4559
FreeSplit,5.71,0.25,508,8787,4555
First,154.95,0.27,4500,8999,4500
Random,5.57,0.25,522,8749,4548
FreeSplit,6.32,0.31,517,8749,4570
First,155.57,0.50,4500,8999,4500
Random,5.67,0.26,524,8777,4551
FreeSplit,6.25,0.27,514,8757,4558
First,193.41,0.37,4500,8999,4500
Random,5.27,0.25,513,8737,4542
