Heuristic,BSP,Painter,H,N,S
First,10.33,0.41,200,399,200
Random,1.38,0.08,59,361,213
FreeSplit,1.20,0.04,60,363,210
First,2.96,0.07,200,399,200
Random,1.04,0.07,57,349,209
FreeSplit,0.99,0.05,55,357,211
First,3.16,0.09,200,399,200
Random,1.02,0.07,64,359,211
FreeSplit,1.07,0.07,55,355,212
First,3.00,0.09,200,399,200
Random,0.85,0.11,57,361,211
FreeSplit,1.02,0.18,58,357,214
First,3.05,0.07,200,399,200
Random,0.74,0.05,56,359,211
FreeSplit,1.08,0.08,65,355,206
First,2.94,0.07,200,399,200
Random,0.85,0.06,60,353,208
FreeSplit,0.93,0.09,53,355,209
First,2.94,0.07,200,399,200
Random,0.92,0.06,61,367,213
FreeSplit,1.16,0.07,64,353,207
First,2.98,0.07,200,399,200
Random,0.82,0.07,60,359,207
FreeSplit,0.93,0.07,60,367,214
First,1.09,0.07,200,399,200
Random,0.58,0.06,58,341,206
FreeSplit,0.57,0.06,58,367,215
First,1.05,0.06,200,399,200
Random,0.42,0.07,56,359,214
FreeSplit,0.49,0.06,56,363,213
First,1.01,0.06,200,399,200
Random,0.44,0.08,60,351,211
FreeSplit,0.41,0.06,53,357,210
First,1.01,0.07,200,399,200
Random,0.41,0.06,55,363,213
FreeSplit,0.41,0.05,58,355,212
First,0.99,0.07,200,399,200
Random,0.40,0.07,64,353,211
FreeSplit,0.40,0.09,56,359,211
First,1.05,0.04,200,399,200
Random,0.38,0.03,52,365,213
FreeSplit,0.40,0.03,55,353,212
First,1.07,0.04,200,399,200
Random,0.39,0.03,56,351,208
FreeSplit,0.39,0.03,63,351,208
First,1.00,0.04,200,399,200
Random,0.42,0.03,57,353,207
FreeSplit,0.43,0.03,61,357,208
First,1.02,0.04,200,399,200
Random,0.48,0.03,57,351,210
FreeSplit,0.42,0.03,53,353,210
First,1.01,0.04,200,399,200
Random,0.39,0.03,58,357,210
FreeSplit,0.39,0.03,58,359,207
First,1.01,0.03,200,399,200
Random,0.44,0.02,56,361,211
FreeSplit,0.24,0.02,62,341,206
First,0.59,0.02,200,399,200
Random,0.25,0.01,63,363,213
FreeSplit,0.25,0.02,57,363,214
First,0.59,0.02,200,399,200
Random,0.23,0.02,65,351,206
FreeSplit,0.39,0.03,55,357,212
First,1.13,0.05,200,399,200
Random,0.42,0.02,62,355,208
FreeSplit,0.25,0.02,61,357,212
First,0.60,0.02,200,399,200
Random,0.23,0.01,56,363,212
FreeSplit,0.23,0.01,60,353,205
First,0.72,0.03,200,399,200
Random,0.28,0.03,57,351,209
FreeSplit,0.30,0.03,59,357,214
First,0.97,0.03,200,399,200
Random,0.29,0.03,58,357,210
FreeSplit,0.31,0.02,58,359,210
First,0.65,0.04,200,399,200
Random,0.31,0.03,58,345,210
FreeSplit,0.28,0.03,59,363,209
First,0.64,0.03,200,399,200
Random,0.30,0.02,61,357,210
FreeSplit,0.27,0.02,57,363,212
First,0.66,0.03,200,399,200
Random,0.30,0.03,56,363,213
FreeSplit,0.31,0.03,63,359,207
First,0.65,0.03,200,399,200
Random,0.29,0.03,62,357,212
FreeSplit,0.25,0.03,55,353,208
First,0.67,0.03,200,399,200
Random,0.27,0.02,59,359,211
FreeSplit,0.30,0.03,69,361,212
First,0.71,0.03,200,399,200
Random,0.26,0.03,64,351,204
FreeSplit,0.31,0.03,54,357,213
First,0.67,0.03,200,399,200
Random,0.27,0.03,67,361,208
FreeSplit,0.27,0.03,64,349,208
First,0.61,0.03,200,399,200
Random,0.29,0.03,55,361,210
FreeSplit,0.27,0.03,66,365,208
First,0.68,0.03,200,399,200
Random,0.27,0.03,56,365,210
FreeSplit,0.24,0.03,57,355,211
First,0.63,0.03,200,399,200
Random,0.24,0.03,58,355,210
FreeSplit,0.26,0.02,64,347,211
First,0.66,0.04,200,399,200
Random,0.25,0.02,63,359,209
FreeSplit,0.23,0.03,53,361,210
First,0.61,0.03,200,399,200
Random,0.25,0.03,60,359,211
FreeSplit,0.27,0.03,61,363,211
First,0.62,0.03,200,399,200
Random,0.22,0.02,55,355,212
FreeSplit,0.24,0.02,56,363,212
First,0.63,0.03,200,399,200
Random,0.23,0.02,55,357,216
FreeSplit,0.25,0.03,62,353,207
First,0.61,0.03,200,399,200
Random,0.23,0.02,61,355,210
FreeSplit,0.24,0.02,60,357,211
First,0.41,0.02,200,399,200
Random,0.15,0.01,56,363,215
FreeSplit,0.14,0.02,59,355,209
First,0.39,0.01,200,399,200
Random,0.18,0.02,61,351,207
FreeSplit,0.22,0.02,56,355,214
First,0.51,0.02,200,399,200
Random,0.19,0.44,61,357,212
FreeSplit,0.29,0.03,62,359,212
First,0.63,0.03,200,399,200
Random,0.21,0.03,56,349,209
FreeSplit,0.25,0.02,58,363,209
First,0.61,0.02,200,399,200
Random,0.16,0.02,65,365,208
FreeSplit,0.14,0.01,56,351,208
First,0.37,0.01,200,399,200
Random,0.13,0.01,55,357,211
FreeSplit,0.14,0.01,56,355,209
First,0.36,0.01,200,399,200
Random,0.22,0.02,61,341,210
FreeSplit,0.20,0.01,51,363,214
First,0.37,0.01,200,399,200
Random,0.13,0.01,61,351,206
FreeSplit,0.14,0.01,59,367,218
First,0.37,0.01,200,399,200
Random,0.12,0.01,53,363,212
FreeSplit,0.15,0.01,57,353,210
First,0.37,0.02,200,399,200
Random,0.14,0.01,63,361,212
FreeSplit,0.14,0.01,59,357,216
First,0.37,0.01,200,399,200
Random,0.14,0.01,68,355,207
FreeSplit,0.15,0.02,61,353,210
First,0.41,0.02,200,399,200
Random,0.23,0.02,58,361,212
FreeSplit,0.22,0.04,63,349,210
First,0.72,0.03,200,399,200
Random,0.29,0.02,61,363,211
FreeSplit,0.26,0.02,58,355,212
First,0.60,0.02,200,399,200
Random,0.21,0.02,56,359,208
FreeSplit,0.21,0.03,60,353,211
First,0.63,0.03,200,399,200
Random,0.20,0.03,55,355,208
FreeSplit,0.25,0.02,60,355,211
First,0.63,0.02,200,399,200
Random,0.28,0.03,57,357,213
FreeSplit,0.22,0.02,61,355,209
First,0.60,0.03,200,399,200
Random,0.21,0.03,57,363,214
FreeSplit,0.24,0.02,66,355,210
First,0.63,0.02,200,399,200
Random,0.21,0.03,60,365,211
FreeSplit,0.24,0.02,63,359,215
First,0.48,0.02,200,399,200
Random,0.22,0.03,58,359,211
FreeSplit,0.22,0.02,55,369,215
First,0.62,0.03,200,399,200
Random,0.23,0.02,68,351,210
FreeSplit,0.23,0.02,56,361,213
First,0.61,0.03,200,399,200
Random,0.20,0.02,58,359,211
FreeSplit,0.21,0.02,56,351,210
First,0.60,0.03,200,399,200
Random,0.20,0.02,60,359,209
FreeSplit,0.22,0.02,59,361,213
First,0.61,0.02,200,399,200
Random,0.19,0.02,53,369,213
FreeSplit,0.19,0.02,52,349,208
First,0.61,0.02,200,399,200
Random,0.21,0.02,59,355,211
FreeSplit,0.31,0.04,56,357,211
First,0.62,0.03,200,399,200
Random,0.22,0.02,52,351,209
FreeSplit,0.24,0.03,58,353,208
First,0.63,0.03,200,399,200
Random,0.20,0.03,51,359,212
FreeSplit,0.25,0.06,58,357,214
First,0.62,0.02,200,399,200
Random,0.23,0.03,61,361,210
FreeSplit,0.29,0.02,58,353,208
First,0.64,0.02,200,399,200
Random,0.20,0.03,53,345,210
FreeSplit,0.22,0.02,57,359,213
First,0.62,0.03,200,399,200
Random,0.20,0.02,56,363,214
FreeSplit,0.21,0.02,57,353,209
First,0.61,0.02,200,399,200
Random,0.20,0.02,58,357,210
FreeSplit,0.24,0.02,68,355,209
First,0.61,0.02,200,399,200
Random,0.21,0.02,58,359,211
FreeSplit,0.22,0.02,64,353,209
First,0.63,0.03,200,399,200
Random,0.22,0.02,62,363,211
FreeSplit,0.21,0.02,54,355,210
First,0.61,0.03,200,399,200
Random,0.20,0.02,57,353,209
FreeSplit,0.25,0.02,63,349,207
First,0.63,0.03,200,399,200
Random,0.21,0.02,59,359,210
FreeSplit,0.22,0.03,58,349,206
First,0.64,0.03,200,399,200
Random,0.22,0.02,59,349,211
FreeSplit,0.20,0.03,56,369,215
First,0.59,0.03,200,399,200
Random,0.23,0.02,67,349,209
FreeSplit,0.21,0.02,57,365,209
First,0.60,0.02,200,399,200
Random,0.19,0.02,52,353,210
FreeSplit,0.21,0.03,54,363,211
First,0.63,0.02,200,399,200
Random,0.23,0.03,64,349,207
FreeSplit,0.20,0.03,56,353,205
First,0.62,0.02,200,399,200
Random,0.22,0.02,59,359,210
FreeSplit,0.23,0.03,61,363,209
First,0.68,0.03,200,399,200
Random,0.21,0.03,56,357,211
FreeSplit,0.23,0.02,63,359,209
First,0.63,0.03,200,399,200
Random,0.32,0.03,55,351,209
FreeSplit,0.22,0.02,58,361,215
First,0.63,0.03,200,399,200
Random,0.22,0.02,64,351,210
FreeSplit,0.22,0.02,58,355,211
First,0.64,0.03,200,399,200
Random,0.20,0.02,58,347,211
FreeSplit,0.23,0.02,59,363,212
First,0.62,0.03,200,399,200
Random,0.20,0.02,57,359,211
FreeSplit,0.21,0.02,58,355,210
First,0.62,0.03,200,399,200
Random,0.21,0.02,65,351,210
FreeSplit,0.24,0.02,60,367,213
First,0.66,0.03,200,399,200
Random,0.25,0.02,63,365,213
FreeSplit,0.20,0.02,54,351,210
First,0.44,0.01,200,399,200
Random,0.24,0.01,60,359,210
FreeSplit,0.20,0.02,62,359,212
First,0.61,0.02,200,399,200
Random,0.21,0.01,59,367,209
FreeSplit,0.18,0.02,57,357,207
First,0.43,0.02,200,399,200
Random,0.20,0.02,57,363,213
FreeSplit,0.20,0.03,53,345,207
First,0.62,0.03,200,399,200
Random,0.21,0.03,61,367,211
FreeSplit,0.22,0.02,60,359,211
First,0.64,0.03,200,399,200
Random,0.20,0.03,58,345,207
FreeSplit,0.22,0.02,55,359,216
First,0.74,0.05,200,399,200
Random,0.25,0.03,55,357,213
FreeSplit,0.19,0.02,52,345,207
First,0.64,0.03,200,399,200
Random,0.21,0.03,59,365,217
FreeSplit,0.20,0.02,57,361,208
First,0.63,0.03,200,399,200
Random,0.21,0.02,60,359,210
FreeSplit,0.22,0.02,60,365,213
First,0.62,0.03,200,399,200
Random,0.21,0.02,60,349,209
FreeSplit,0.21,0.02,59,363,211
First,0.64,0.03,200,399,200
Random,0.20,0.02,57,361,210
FreeSplit,0.20,0.02,54,361,212
First,0.63,0.03,200,399,200
Random,0.18,0.02,54,357,208
FreeSplit,0.21,0.02,54,351,209
First,0.65,0.02,200,399,200
Random,0.19,0.02,59,357,210
FreeSplit,0.21,0.03,60,351,209
First,0.65,0.03,200,399,200
Random,0.21,0.02,60,357,210
FreeSplit,0.21,0.03,59,353,209
First,0.68,0.03,200,399,200
Random,0.20,0.02,57,357,212
FreeSplit,0.21,0.02,56,359,215
First,0.67,0.03,200,399,200
Random,0.19,0.02,54,355,211
FreeSplit,0.21,0.02,57,351,208
First,0.68,0.02,200,399,200
Random,0.19,0.02,57,363,209
FreeSplit,0.19,0.02,53,347,207
First,0.63,0.02,200,399,200
Random,0.20,0.04,58,353,212
FreeSplit,0.19,0.02,54,357,211
First,0.64,0.02,200,399,200
Random,0.19,0.02,57,363,209
FreeSplit,0.20,0.02,55,355,208
First,0.66,0.03,200,399,200
Random,0.19,0.02,58,361,208
FreeSplit,0.20,0.02,57,351,209
First,0.63,0.02,200,399,200
Random,0.18,0.02,54,361,211
FreeSplit,0.21,0.02,60,365,212
First,0.61,0.03,200,399,200
Random,0.19,0.02,54,361,216
FreeSplit,0.22,0.02,56,361,209
