Heuristic,BSP,Painter,H,N,S
First,344.38,16.95,156,108571,70473
Random,149.87,8.65,48,93999,55855
FreeSplit,139.21,5.25,49,94507,55852
First,98.28,6.58,156,108571,70473
Random,46.95,5.24,47,94259,56083
FreeSplit,57.19,5.60,50,94559,55881
First,114.67,7.12,156,108571,70473
Random,48.17,6.15,46,94239,56096
FreeSplit,47.76,5.54,50,94531,55768
First,105.78,6.66,156,108571,70473
Random,48.31,5.21,45,93885,55715
FreeSplit,54.70,5.48,51,94667,55914
First,112.72,6.88,156,108571,70473
Random,63.21,5.93,47,94073,55981
FreeSplit,67.52,5.45,49,94609,55869
First,137.78,4.33,156,108571,70473
Random,44.59,3.63,50,93893,55695
FreeSplit,43.82,3.59,45,94621,56003
First,101.98,4.84,156,108571,70473
Random,40.76,3.67,48,94319,56062
FreeSplit,43.86,3.64,47,94503,55867
First,97.46,3.84,156,108571,70473
Random,41.75,3.71,46,94141,55861
FreeSplit,47.56,3.56,51,94561,55852
First,98.74,4.65,156,108571,70473
Random,43.43,3.58,56,94133,55856
FreeSplit,46.76,3.63,49,94525,55883
First,97.42,4.76,156,108571,70473
Random,40.48,3.50,50,94261,55991
FreeSplit,59.72,3.57,58,94631,55933
First,107.91,4.69,156,108571,70473
Random,42.28,3.73,45,94315,56134
FreeSplit,51.17,3.55,48,94485,55918
First,99.93,4.70,156,108571,70473
Random,40.30,3.80,46,94191,56020
FreeSplit,43.55,3.73,50,94897,56094
First,97.25,4.69,156,108571,70473
Random,39.48,3.42,45,94175,55952
FreeSplit,44.49,3.50,47,94693,55899
First,99.27,4.66,156,108571,70473
Random,41.79,3.61,44,93909,55700
FreeSplit,44.82,3.55,50,94673,56014
First,97.07,4.83,156,108571,70473
Random,39.56,3.53,45,93995,55876
FreeSplit,45.07,3.60,47,94395,55707
First,100.29,4.67,156,108571,70473
Random,48.16,3.73,50,94179,56032
FreeSplit,48.99,3.65,49,94567,55867
First,97.77,4.67,156,108571,70473
Random,41.07,3.54,50,94101,55948
FreeSplit,42.58,3.62,51,94617,55967
First,97.48,4.83,156,108571,70473
Random,39.25,3.37,46,93987,55862
FreeSplit,46.61,3.59,50,94627,55868
First,97.89,4.62,156,108571,70473
Random,40.47,3.55,48,94209,56031
FreeSplit,46.51,3.61,50,94573,55813
First,99.12,4.73,156,108571,70473
Random,38.52,3.59,49,94097,55933
FreeSplit,43.30,3.70,48,94785,56003
First,102.80,4.42,156,108571,70473
Random,39.60,3.60,49,94075,55918
FreeSplit,47.90,3.59,47,94563,55928
First,97.07,4.72,156,108571,70473
Random,41.99,3.62,53,94037,55998
FreeSplit,43.86,3.64,48,94671,55983
First,97.91,4.69,156,108571,70473
Random,41.03,3.59,48,94289,56058
FreeSplit,48.06,3.72,49,94769,56153
First,97.13,4.80,156,108571,70473
Random,46.91,3.55,50,93963,55803
FreeSplit,44.88,3.56,50,94661,55817
First,97.69,4.90,156,108571,70473
Random,41.19,3.71,48,93895,55756
FreeSplit,49.36,3.52,51,94515,55868
First,97.49,4.15,156,108571,70473
Random,41.22,3.56,49,94347,56114
FreeSplit,50.46,3.72,47,94353,55663
First,97.16,4.64,156,108571,70473
Random,42.06,3.52,50,94343,56124
FreeSplit,50.68,3.81,50,94537,55835
First,97.23,4.68,156,108571,70473
Random,44.28,3.75,52,94159,55945
FreeSplit,45.49,3.47,52,94411,55691
First,105.04,4.85,156,108571,70473
Random,40.08,3.62,47,94207,55989
FreeSplit,47.50,3.54,52,94515,55834
First,102.84,4.70,156,108571,70473
Random,43.47,3.57,45,94003,55935
FreeSplit,47.28,3.56,52,94629,55880
First,98.70,3.84,156,108571,70473
Random,46.82,3.54,50,94107,55904
FreeSplit,43.03,3.55,52,94589,55877
First,97.64,4.64,156,108571,70473
Random,39.97,3.60,46,94059,55991
FreeSplit,44.16,3.87,49,94777,56052
First,97.81,4.70,156,108571,70473
Random,40.89,3.70,47,94073,55951
FreeSplit,47.23,3.52,51,94617,55920
First,108.72,4.78,156,108571,70473
Random,45.46,3.68,50,94055,55848
FreeSplit,49.50,3.71,54,94677,55824
First,104.60,4.88,156,108571,70473
Random,43.10,4.06,46,94195,56027
FreeSplit,45.43,3.95,49,94481,55844
First,99.07,5.50,156,108571,70473
Random,46.39,3.90,52,94041,55850
FreeSplit,45.46,4.04,51,94693,56036
First,99.98,5.07,156,108571,70473
Random,40.99,4.08,48,94167,55915
FreeSplit,45.09,4.07,51,94595,55945
First,99.42,5.43,156,108571,70473
Random,47.40,3.87,52,94349,56097
FreeSplit,54.97,3.14,53,94843,56117
First,103.98,4.63,156,108571,70473
Random,49.79,3.61,50,94029,55881
FreeSplit,48.73,3.68,50,94659,55954
First,97.11,4.69,156,108571,70473
Random,40.04,3.63,47,94195,55899
FreeSplit,48.71,3.59,51,94455,55771
First,97.72,4.25,156,108571,70473
Random,38.99,3.55,46,94109,55981
FreeSplit,45.89,3.47,48,94281,55660
First,120.18,4.93,156,108571,70473
Random,43.70,3.74,48,93833,55849
FreeSplit,46.22,4.10,49,94733,55978
First,99.93,5.53,156,108571,70473
Random,41.09,4.10,49,94211,55993
FreeSplit,48.41,3.90,49,94617,55943
First,99.11,5.06,156,108571,70473
Random,44.14,3.90,46,94021,55898
FreeSplit,50.75,4.12,53,94499,55867
First,97.27,5.19,156,108571,70473
Random,42.56,4.07,46,94185,55922
FreeSplit,49.76,4.22,51,94635,55921
First,100.10,4.91,156,108571,70473
Random,43.65,3.97,47,94235,56078
FreeSplit,52.90,3.95,53,94543,55927
First,99.70,5.43,156,108571,70473
