Heuristic,BSP,Painter,H,N,S
First,138.10,6.33,118,54771,36082
Random,147.05,4.54,45,46987,28405
FreeSplit,95.65,4.24,44,47297,28342
First,61.38,5.45,118,54771,36082
Random,37.95,4.48,44,46903,28320
FreeSplit,38.53,4.38,42,47345,28405
First,63.52,5.47,118,54771,36082
Random,32.66,4.47,48,47139,28528
FreeSplit,38.72,4.33,47,47467,28533
First,65.10,5.37,118,54771,36082
Random,32.12,4.30,42,46949,28302
FreeSplit,33.17,4.41,46,47253,28328
First,70.29,4.02,118,54771,36082
Random,21.10,1.82,42,46993,28346
FreeSplit,23.20,1.78,42,47215,28309
First,45.30,2.40,118,54771,36082
Random,21.71,1.70,47,46995,28374
FreeSplit,20.78,1.92,46,47311,28421
First,34.47,2.55,118,54771,36082
Random,18.02,1.98,43,46919,28292
FreeSplit,21.54,1.93,44,47325,28360
First,36.11,2.48,118,54771,36082
Random,18.66,1.91,46,47071,28440
FreeSplit,18.75,1.87,44,47387,28453
First,35.95,2.42,118,54771,36082
Random,18.80,1.88,43,46953,28336
FreeSplit,22.83,2.17,46,47225,28303
First,36.38,2.68,118,54771,36082
Random,19.33,1.88,43,46993,28430
FreeSplit,20.43,1.84,43,47241,28397
First,36.49,2.42,118,54771,36082
Random,20.33,1.82,42,47227,28560
FreeSplit,26.44,1.99,44,47227,28321
First,56.92,2.95,118,54771,36082
Random,22.61,1.87,42,46945,28361
FreeSplit,24.93,1.85,44,47413,28430
First,43.77,2.60,118,54771,36082
Random,22.34,1.79,42,47255,28576
FreeSplit,20.83,2.48,43,47521,28520
First,35.36,2.48,118,54771,36082
Random,17.79,1.93,40,47183,28461
FreeSplit,21.46,1.90,46,47441,28537
First,36.21,3.21,118,54771,36082
Random,18.01,1.80,44,46871,28324
FreeSplit,21.69,1.93,44,47139,28240
First,36.42,2.44,118,54771,36082
Random,18.48,1.86,44,47049,28425
FreeSplit,19.11,1.89,42,47213,28351
First,37.42,2.42,118,54771,36082
Random,18.54,1.91,45,47065,28482
FreeSplit,19.96,1.89,45,47405,28448
First,37.02,2.46,118,54771,36082
Random,18.09,2.18,41,46921,28331
FreeSplit,20.40,1.94,43,47293,28372
First,35.54,2.74,118,54771,36082
Random,19.06,1.91,48,47241,28545
FreeSplit,19.62,1.85,47,47397,28425
First,36.89,2.65,118,54771,36082
Random,17.70,2.05,43,47163,28508
FreeSplit,20.16,1.79,43,47243,28356
First,37.73,2.49,118,54771,36082
Random,17.43,2.01,43,47149,28536
FreeSplit,20.25,1.86,43,47177,28283
First,35.22,2.57,118,54771,36082
Random,18.46,1.87,43,47079,28478
FreeSplit,18.48,1.85,40,47423,28503
First,36.52,2.41,118,54771,36082
Random,23.28,1.77,41,46995,28294
FreeSplit,22.91,2.21,46,47237,28236
First,45.11,1.99,118,54771,36082
Random,18.86,2.03,42,46983,28351
FreeSplit,19.06,1.88,42,47243,28310
First,35.10,2.47,118,54771,36082
Random,17.08,1.93,41,46993,28396
FreeSplit,18.99,1.83,45,47259,28302
First,37.10,2.42,118,54771,36082
Random,18.02,1.82,44,47123,28525
FreeSplit,20.75,1.90,43,47479,28487
First,36.79,2.60,118,54771,36082
Random,18.94,1.86,44,46955,28379
FreeSplit,19.21,1.95,43,47397,28452
First,35.65,2.65,118,54771,36082
Random,18.32,1.88,44,47051,28431
FreeSplit,20.10,1.88,42,47275,28434
First,35.95,2.45,118,54771,36082
