Heuristic,BSP,Painter,H,N,S
First,106.71,4.87,95,25319,17062
Random,35.87,1.68,33,22037,13930
FreeSplit,31.31,1.34,37,22223,13872
First,33.98,1.59,95,25319,17062
Random,74.86,1.46,36,22173,14011
FreeSplit,41.95,1.29,40,22201,13870
First,13.56,2.16,95,25319,17062
Random,9.25,1.29,36,21909,13767
FreeSplit,11.31,1.58,42,22183,13882
First,13.58,1.54,95,25319,17062
Random,9.88,1.31,36,21955,13762
FreeSplit,9.33,1.26,37,22055,13793
First,13.36,1.54,95,25319,17062
Random,9.85,1.23,38,22011,13868
FreeSplit,11.31,1.28,39,22135,13798
First,17.54,2.55,95,25319,17062
Random,15.85,1.29,36,21969,13875
FreeSplit,9.74,1.39,38,22063,13783
First,13.74,1.65,95,25319,17062
Random,8.02,1.25,35,22055,13899
FreeSplit,9.34,2.08,40,22131,13834
First,13.36,1.55,95,25319,17062
Random,8.03,1.56,42,21873,13776
FreeSplit,8.63,1.43,37,22131,13842
First,13.98,1.53,95,25319,17062
Random,9.22,2.20,44,21969,13884
FreeSplit,9.50,1.40,38,22255,13893
First,13.81,1.58,95,25319,17062
Random,8.64,1.47,39,22087,13952
FreeSplit,9.04,1.26,36,22149,13877
First,14.13,1.58,95,25319,17062
Random,8.19,1.55,40,22043,13931
FreeSplit,8.55,1.38,38,22243,13920
First,14.60,1.61,95,25319,17062
Random,9.32,1.87,38,21987,13835
FreeSplit,11.07,1.36,37,22299,13957
First,18.37,1.59,95,25319,17062
Random,12.80,1.29,37,21979,13903
FreeSplit,10.88,1.40,37,22195,13861
First,19.52,1.61,95,25319,17062
Random,11.73,1.36,36,22083,13922
FreeSplit,10.72,1.02,37,22261,13899
First,16.21,1.17,95,25319,17062
Random,7.47,0.88,36,22011,13869
FreeSplit,8.16,0.80,39,22051,13731
First,15.78,1.06,95,25319,17062
Random,7.76,0.94,34,21957,13851
FreeSplit,9.13,0.92,36,22245,13913
First,12.90,1.09,95,25319,17062
Random,7.83,0.91,35,22051,13868
FreeSplit,8.41,0.90,36,22135,13875
First,14.40,1.27,95,25319,17062
Random,8.08,0.86,39,22035,13937
FreeSplit,9.04,0.80,39,22131,13798
First,14.85,1.16,95,25319,17062
Random,7.82,0.88,37,22243,14030
FreeSplit,8.51,0.91,37,22337,13977
First,13.05,1.01,95,25319,17062
Random,8.68,0.86,35,21919,13778
FreeSplit,9.84,0.88,36,22165,13917
First,13.22,1.13,95,25319,17062
Random,9.61,0.87,35,21985,13835
FreeSplit,9.23,1.18,35,22177,13859
First,14.07,1.24,95,25319,17062
Random,8.57,0.81,36,21961,13841
FreeSplit,9.10,0.87,40,22163,13836
First,13.27,1.10,95,25319,17062
Random,8.96,0.86,38,21925,13820
FreeSplit,8.56,0.85,39,22207,13876
First,12.73,1.64,95,25319,17062
Random,7.31,0.82,34,21979,13877
FreeSplit,9.59,0.89,41,22279,13922
First,12.87,1.65,95,25319,17062
Random,7.60,0.89,34,22045,13888
FreeSplit,8.72,0.92,36,22151,13854
First,13.52,1.07,95,25319,17062
Random,9.00,0.85,35,22023,13925
FreeSplit,10.67,0.87,40,22145,13844
First,16.31,1.11,95,25319,17062
Random,9.40,0.87,34,22081,13936
FreeSplit,10.85,0.92,36,22065,13779
First,16.80,1.07,95,25319,17062
Random,8.88,0.86,34,22011,13891
FreeSplit,10.88,0.84,38,22227,13925
First,17.07,1.14,95,25319,17062
Random,10.36,0.81,32,22087,13971
FreeSplit,12.17,0.88,42,22357,13989
First,16.94,1.07,95,25319,17062
Random,9.56,0.94,36,22001,13891
FreeSplit,10.68,0.92,34,22255,13931
First,16.99,1.06,95,25319,17062
Random,9.84,0.89,40,22083,13927
FreeSplit,11.68,0.87,36,22201,13866
First,13.80,1.12,95,25319,17062
Random,7.49,0.95,39,22185,14053
FreeSplit,9.11,1.11,40,22181,13898
First,13.88,1.11,95,25319,17062
Random,7.81,0.89,39,22065,13947
FreeSplit,9.23,0.92,41,22363,13984
First,13.66,1.11,95,25319,17062
Random,7.97,0.87,36,22149,13950
FreeSplit,9.62,0.92,37,22211,13931
First,13.21,1.09,95,25319,17062
Random,9.37,0.84,40,22085,13911
FreeSplit,8.62,0.86,41,22159,13827
First,13.71,1.11,95,25319,17062
Random,7.62,0.87,36,21921,13774
FreeSplit,7.99,0.90,37,22259,13944
First,13.85,1.12,95,25319,17062
Random,8.42,0.86,34,22069,13930
FreeSplit,8.54,0.86,37,22207,13841
First,13.97,1.11,95,25319,17062
Random,7.89,0.91,37,22027,13917
FreeSplit,8.82,0.86,37,22237,13910
First,13.75,1.07,95,25319,17062
Random,7.46,0.84,36,22093,13934
FreeSplit,8.78,0.86,36,22227,13960
First,12.46,1.10,95,25319,17062
Random,7.99,0.86,34,22035,13934
FreeSplit,8.47,0.89,36,22263,13967
First,13.13,1.10,95,25319,17062
Random,8.41,0.88,39,22097,13951
FreeSplit,8.21,0.84,37,22107,13812
First,13.20,1.16,95,25319,17062
Random,7.95,0.86,36,21999,13895
FreeSplit,9.16,0.92,37,22129,13827
First,13.15,1.04,95,25319,17062
Random,7.74,0.95,38,22009,13876
FreeSplit,9.53,0.86,41,22203,13935
First,12.89,1.14,95,25319,17062
Random,7.27,0.94,34,22059,13909
FreeSplit,8.93,0.96,44,22247,13915
First,14.96,1.13,95,25319,17062
Random,8.39,0.92,41,21963,13879
FreeSplit,8.61,0.92,38,22239,13883
First,13.58,1.10,95,25319,17062
Random,8.50,0.81,35,21959,13881
FreeSplit,8.61,0.85,36,22259,13926
First,15.13,1.10,95,25319,17062
Random,7.68,0.85,36,21955,13832
FreeSplit,8.78,0.86,39,22215,13919
First,13.47,1.10,95,25319,17062
Random,8.06,0.88,34,21997,13884
FreeSplit,8.53,0.95,38,22169,13852
First,13.41,1.11,95,25319,17062
Random,8.25,0.90,38,21949,13814
FreeSplit,8.80,0.89,38,22223,13906
First,13.03,1.08,95,25319,17062
Random,7.61,0.90,36,21975,13905
FreeSplit,8.96,0.83,40,22097,13791
First,12.31,1.07,95,25319,17062
Random,7.14,0.85,36,22051,13876
FreeSplit,9.64,0.87,38,22235,13914
First,12.81,1.09,95,25319,17062
Random,7.92,0.89,36,22029,13856
FreeSplit,8.87,0.83,39,22241,13933
First,12.23,1.08,95,25319,17062
Random,7.95,0.87,38,21985,13863
FreeSplit,8.53,0.89,43,22123,13807
First,14.71,1.12,95,25319,17062
Random,9.52,0.81,38,21989,13869
FreeSplit,9.48,0.85,36,22073,13774
First,18.77,1.10,95,25319,17062
Random,9.80,0.82,38,21993,13872
FreeSplit,10.16,0.78,37,22197,13862
First,17.51,1.09,95,25319,17062
Random,9.60,0.78,33,22153,13981
FreeSplit,9.79,0.89,38,22255,13867
First,14.78,1.07,95,25319,17062
Random,7.59,0.85,38,21993,13883
FreeSplit,8.26,0.81,37,22257,13906
First,13.72,1.13,95,25319,17062
Random,8.22,0.86,37,22083,13937
FreeSplit,8.98,0.90,38,22163,13828
First,14.77,1.11,95,25319,17062
Random,8.24,1.04,37,22103,13985
