Heuristic,BSP,Painter,H,N,S
First,34.30,2.49,54,6497,4541
Random,12.97,0.85,28,5821,3928
FreeSplit,15.89,0.75,30,5941,3947
First,21.87,0.80,54,6497,4541
Random,10.95,0.63,26,5755,3886
FreeSplit,18.73,0.64,31,5893,3930
First,57.43,0.84,54,6497,4541
Random,23.97,0.75,27,5815,3914
FreeSplit,26.58,0.76,28,5937,3944
First,19.61,0.83,54,6497,4541
Random,3.70,0.58,31,5823,3920
FreeSplit,3.66,0.64,29,5805,3857
First,4.91,0.76,54,6497,4541
Random,3.49,0.46,27,5815,3931
FreeSplit,3.67,0.55,28,5853,3900
First,5.42,0.68,54,6497,4541
Random,3.48,0.52,29,5795,3885
FreeSplit,3.89,0.47,32,5843,3879
First,5.32,0.57,54,6497,4541
Random,3.48,0.52,28,5819,3923
FreeSplit,3.71,0.60,29,5927,3920
First,5.28,0.62,54,6497,4541
Random,3.33,0.45,27,5803,3908
FreeSplit,4.00,0.53,27,5869,3904
First,6.30,0.56,54,6497,4541
Random,4.02,0.51,27,5841,3928
FreeSplit,4.44,0.53,30,5883,3914
First,5.88,0.59,54,6497,4541
Random,3.77,0.33,32,5803,3896
FreeSplit,2.91,0.28,31,5833,3892
First,4.49,0.38,54,6497,4541
Random,3.59,0.36,28,5827,3913
FreeSplit,2.50,0.41,27,5923,3930
First,3.11,0.41,54,6497,4541
Random,2.24,0.38,28,5817,3900
FreeSplit,2.40,0.36,28,5881,3928
First,3.13,0.39,54,6497,4541
Random,2.88,0.38,28,5805,3891
FreeSplit,2.30,0.30,31,5903,3930
First,2.94,0.35,54,6497,4541
Random,2.14,0.30,32,5857,3943
FreeSplit,2.30,0.30,30,5825,3881
First,3.05,0.40,54,6497,4541
Random,2.10,0.34,25,5921,3990
FreeSplit,2.22,0.30,27,5915,3906
First,2.93,0.34,54,6497,4541
Random,2.15,0.32,29,5787,3900
FreeSplit,2.30,0.36,31,5911,3925
First,3.16,0.40,54,6497,4541
Random,3.21,0.46,29,5789,3903
FreeSplit,3.30,0.53,30,5855,3892
