Heuristic,BSP,Painter,H,N,S
First,79.72,3.72,46,115,15600
Random,29.75,1.49,14,321,15613
FreeSplit,41.05,0.87,17,387,15611
First,15.11,0.44,46,115,15600
Random,7.07,0.58,15,361,15613
FreeSplit,8.18,0.15,14,355,15620
First,7.13,0.14,46,115,15600
Random,4.21,0.14,15,413,15612
FreeSplit,4.82,0.26,16,267,15605
First,8.84,0.15,46,115,15600
Random,5.18,0.18,16,379,15613
FreeSplit,6.33,0.15,17,347,15618
First,7.95,0.12,46,115,15600
Random,5.28,0.34,16,451,15615
FreeSplit,4.61,0.17,13,279,15612
First,7.36,0.16,46,115,15600
Random,3.74,0.18,18,421,15619
FreeSplit,3.72,0.12,16,345,15612
First,7.20,0.15,46,115,15600
Random,4.39,0.29,20,355,15611
FreeSplit,4.87,0.17,18,313,15609
First,9.95,0.13,46,115,15600
Random,4.34,0.17,14,329,15608
FreeSplit,4.42,0.20,15,427,15614
First,6.61,0.12,46,115,15600
Random,4.09,0.18,16,313,15616
FreeSplit,5.20,0.14,15,309,15606
First,6.77,0.13,46,115,15600
Random,6.01,0.26,16,295,15617
FreeSplit,4.40,0.13,13,345,15621
First,6.76,0.22,46,115,15600
Random,4.45,0.18,14,381,15620
FreeSplit,4.61,0.28,16,331,15616
First,8.86,0.16,46,115,15600
Random,4.73,0.24,15,447,15615
FreeSplit,6.76,0.29,16,387,15607
First,9.33,0.13,46,115,15600
Random,4.70,0.12,16,239,15609
FreeSplit,5.86,0.14,16,343,15618
First,8.29,0.13,46,115,15600
Random,5.53,0.19,18,327,15616
FreeSplit,4.94,0.15,16,397,15612
First,7.98,0.14,46,115,15600
Random,4.82,0.28,15,371,15616
FreeSplit,5.35,0.20,14,309,15613
First,6.97,0.12,46,115,15600
Random,4.10,0.15,18,297,15610
FreeSplit,4.03,0.25,14,361,15614
First,7.14,0.13,46,115,15600
Random,4.19,0.13,15,329,15617
FreeSplit,4.53,0.14,15,323,15614
First,6.44,0.17,46,115,15600
Random,6.16,0.30,16,365,15613
FreeSplit,6.31,0.13,15,269,15610
First,6.88,0.12,46,115,15600
Random,4.62,0.13,14,389,15618
FreeSplit,4.01,0.12,17,421,15617
First,7.34,0.11,46,115,15600
Random,7.96,0.15,17,381,15614
FreeSplit,3.68,0.13,16,389,15621
First,7.10,0.13,46,115,15600
Random,3.83,0.13,14,389,15617
FreeSplit,5.33,0.16,14,409,15628
First,13.57,0.18,46,115,15600
Random,5.10,0.44,18,395,15610
FreeSplit,4.56,0.14,12,333,15620
First,9.77,0.24,46,115,15600
Random,4.34,0.14,14,361,15614
FreeSplit,6.44,0.33,18,409,15615
First,14.11,0.27,46,115,15600
Random,4.85,0.27,15,347,15620
FreeSplit,5.16,0.16,18,463,15614
First,9.85,0.26,46,115,15600
Random,5.68,0.14,15,367,15609
FreeSplit,4.09,0.16,15,421,15616
